COURSE COD,COURSE TITLE,CREDITS,SLOT,EMPLOYEE NAME
BSTS102P,Quantitative Skills Practice II,1.5,F1+TF1,FACE (APT)
BSTS102P,Quantitative Skills Practice II,1.5,F2+TF2,SMART (APT)
BMAT102L,Differential Equations and Transforms,4,A1+TA1+TAA1,KALAIVANI K
BMAT102L,Differential Equations and Transforms,4,A1+TA1+TAA1,POORNIMA T
BMAT102L,Differential Equations and Transforms,4,A1+TA1+TAA1,RAMU GEDDAVALASA
BMAT102L,Differential Equations and Transforms,4,A1+TA1+TAA1,PRABHUJIT MOHAPATRA
BMAT102L,Differential Equations and Transforms,4,A1+TA1+TAA1,DEBAROTI DAS
BMAT102L,Differential Equations and Transforms,4,A1+TA1+TAA1,ABHISHEK DAS
BMAT102L,Differential Equations and Transforms,4,A1+TA1+TAA1,CLEMENT J
BMAT102L,Differential Equations and Transforms,4,A1+TA1+TAA1,VIJAYAKUMAR V
BMAT102L,Differential Equations and Transforms,4,A1+TA1+TAA1,BALASUBRAMANI N
BMAT102L,Differential Equations and Transforms,4,A2+TA2+TAA2,SELVAKUMAR R
BMAT102L,Differential Equations and Transforms,4,A2+TA2+TAA2,TAMIZHARASI R
BMAT102L,Differential Equations and Transforms,4,A1+TA1+TAA1,SANJAY KUMAR MOHANTY
BMAT102L,Differential Equations and Transforms,4,A2+TA2+TAA2,SANJAY KUMAR MOHANTY
BMAT102L,Differential Equations and Transforms,4,A2+TA2+TAA2,RAJAN CHATTAMVALLI
BMAT102L,Differential Equations and Transforms,4,A2+TA2+TAA2,SUMANT KUMAR
BMAT102L,Differential Equations and Transforms,4,A2+TA2+TAA2,MUBASHIR UNNISSA M
BMAT102L,Differential Equations and Transforms,4,A2+TA2+TAA2,MELLACHERUVU NAGA SRINIVASU
BMAT102L,Differential Equations and Transforms,4,A2+TA2+TAA2,VEERAMANI S
BMAT102L,Differential Equations and Transforms,4,A2+TA2+TAA2,PERI KAMESWARA KAMESWARAN
BMAT102L,Differential Equations and Transforms,4,A2+TA2+TAA2,KALPANA PRIYA D
BMAT102L,Differential Equations and Transforms,4,A2+TA2+TAA2,BALAJI S
BMAT102L,Differential Equations and Transforms,4,C1+TC1+TCC1,UMAKANTA MISHRA
BMAT102L,Differential Equations and Transforms,4,C1+TC1+TCC1,RAMESH KUMAR D
BMAT102L,Differential Equations and Transforms,4,C1+TC1+TCC1,DINESH KUMAR S
BMAT102L,Differential Equations and Transforms,4,C1+TC1+TCC1,KARTHIKA K
BMAT102L,Differential Equations and Transforms,4,C2+TC2+TCC2,NAGA SATYA SRINIVAS AKKIRAJU
BMAT102L,Differential Equations and Transforms,4,C2+TC2+TCC2,VIJAYAKUMAR V
BMAT102L,Differential Equations and Transforms,4,C2+TC2+TCC2,MONICA C
BMAT102L,Differential Equations and Transforms,4,A1+TA1+TAA1,VIJAYA K
BMAT102L,Differential Equations and Transforms,4,A1+TA1+TAA1,MURUGUSUNDARAMOORTHY G
BMAT102L,Differential Equations and Transforms,4,A1+TA1+TAA1,ROY.S
BMAT102L,Differential Equations and Transforms,4,A1+TA1+TAA1,NAGESHWAR RAO RAGI
BMAT102L,Differential Equations and Transforms,4,A1+TA1+TAA1,UMA K
BMAT102L,Differential Equations and Transforms,4,B2+TB2+TBB2,YOGALAKSHMI T
BMAT102L,Differential Equations and Transforms,4,B2+TB2+TBB2,RAJENDRAN P
BMAT102L,Differential Equations and Transforms,4,B2+TB2+TBB2,THILAGAVATHI K
BMAT102L,Differential Equations and Transforms,4,B2+TB2+TBB2,NIRANJAN HARI
BMAT102L,Differential Equations and Transforms,4,C1+TC1+TCC1,ANJANEYULU G.S.G.N
BMAT102L,Differential Equations and Transforms,4,C1+TC1+TCC1,THAMIZHARASI TAMIZHMANI
BMAT102L,Differential Equations and Transforms,4,C1+TC1+TCC1,BALA ANKI REDDY POL
BMAT102L,Differential Equations and Transforms,4,C1+TC1+TCC1,VIJAYA KUMAR A.G
BMAT102L,Differential Equations and Transforms,4,C1+TC1+TCC1,SHARIEF BASHA S
BMAT102L,Differential Equations and Transforms,4,C2+TC2+TCC2,SHOBANA DEVI N
BMAT102L,Differential Equations and Transforms,4,C2+TC2+TCC2,RACHNA BHATIA
BMAT102L,Differential Equations and Transforms,4,C2+TC2+TCC2,RAJESH BHATT
BMAT102L,Differential Equations and Transforms,4,C2+TC2+TCC2,DEBAROTI DAS
BMAT102L,Differential Equations and Transforms,4,C2+TC2+TCC2,PRADEEP KUMAR SAROJ
BMAT102L,Differential Equations and Transforms,4,C2+TC2+TCC2,RAGUKUMAR P
BMAT102L,Differential Equations and Transforms,4,C2+TC2+TCC2,PADIGEPATI NAVEEN
BMAT102L,Differential Equations and Transforms,4,C2+TC2+TCC2,BALASUBRAMANI N
BMAT102L,Differential Equations and Transforms,4,C1+TC1+TCC1,RAVI SANKAR J
BMAT102L,Differential Equations and Transforms,4,C1+TC1+TCC1,KALPANA PRIYA D
BMAT102L,Differential Equations and Transforms,4,C1+TC1+TCC1,SHOBANA DEVI N
BMAT102L,Differential Equations and Transforms,4,A1+TA1+TAA1,VENKATA SATYANARAYANA
BMAT102L,Differential Equations and Transforms,4,A1+TA1+TAA1,EZHILMARAN D
BMAT102L,Differential Equations and Transforms,4,A1+TA1+TAA1,RAMESH KUMAR D
BMAT102L,Differential Equations and Transforms,4,A1+TA1+TAA1,JAGATHESWARI S
BMAT102L,Differential Equations and Transforms,4,A1+TA1+TAA1,ANKUSH CHANDA
BMAT102L,Differential Equations and Transforms,4,A1+TA1+TAA1,MURUGAN V
BMAT102L,Differential Equations and Transforms,4,A1+TA1+TAA1,CHANDRU M
BMAT102L,Differential Equations and Transforms,4,A1+TA1+TAA1,SUNANDA SAHA
BMAT102L,Differential Equations and Transforms,4,A1+TA1+TAA1,UDHAYAKUMAR R
BMAT102L,Differential Equations and Transforms,4,A2+TA2+TAA2,JAGADEESH KUMAR M.S
BMAT102L,Differential Equations and Transforms,4,A2+TA2+TAA2,KARTHIKA K
BMAT102L,Differential Equations and Transforms,4,A2+TA2+TAA2,SUNANDA SAHA
BMAT102L,Differential Equations and Transforms,4,A2+TA2+TAA2,JAGADEESHKUMAR K
BMAT102L,Differential Equations and Transforms,4,B2+TB2+TBB2,ANKUSH CHANDA
BMAT102L,Differential Equations and Transforms,4,A2+TA2+TAA2,LAKSHMINARAYANA P
BMAT102L,Differential Equations and Transforms,4,A2+TA2+TAA2,ABHISHEK DAS
BMAT102L,Differential Equations and Transforms,4,A2+TA2+TAA2,PRAKASH M
BMAT102L,Differential Equations and Transforms,4,B2+TB2+TBB2,SUBRAMANYAM REDDY
BMAT102L,Differential Equations and Transforms,4,B2+TB2+TBB2,PARVEZ ALAM
BMAT102L,Differential Equations and Transforms,4,B2+TB2+TBB2,PRASAD THEEDA
BMAT102L,Differential Equations and Transforms,4,D2+TD2+TDD2,GARGI CHAKRABORTY
BMAT102L,Differential Equations and Transforms,4,D2+TD2+TDD2,VALLAMPATI RAMACHANDRA PRASAD
BMAT102L,Differential Equations and Transforms,4,D2+TD2+TDD2,HEMANT KUMAR NASHINE
BMAT102L,Differential Equations and Transforms,4,D2+TD2+TDD2,CHANDRU M
BMAT102L,Differential Equations and Transforms,4,C2+TC2+TCC2,INDHIRA K
BMAT102L,Differential Equations and Transforms,4,C2+TC2+TCC2,PHANEENDRA T
BMAT102L,Differential Equations and Transforms,4,C2+TC2+TCC2,DEEPA G
BMAT102L,Differential Equations and Transforms,4,C2+TC2+TCC2,DINESH KUMAR S
BMAT102L,Differential Equations and Transforms,4,C2+TC2+TCC2,SUMANT KUMAR
BMAT102L,Differential Equations and Transforms,4,A1+TA1+TAA1,ANAND PRATAP SINGH
BMAT102L,Differential Equations and Transforms,4,C1+TC1+TCC1,MANIMARAN A
BMAT102L,Differential Equations and Transforms,4,C1+TC1+TCC1,NATARAJAN G
BMAT102L,Differential Equations and Transforms,4,C1+TC1+TCC1,KAVITHA K
BMAT102L,Differential Equations and Transforms,4,C1+TC1+TCC1,RAJASEKARAN G
BMAT102L,Differential Equations and Transforms,4,C1+TC1+TCC1,KUVAR SATYA SINGH
BMAT102L,Differential Equations and Transforms,4,C1+TC1+TCC1,LAKSHMI NARAYAN MISHRA
BMAT102L,Differential Equations and Transforms,4,B2+TB2+TBB2,KALAIVANI K
BMAT102L,Differential Equations and Transforms,4,C1+TC1+TCC1,MANJARI SIDHARTH
BMAT102L,Differential Equations and Transforms,4,C1+TC1+TCC1,RACHNA BHATIA
BMAT102L,Differential Equations and Transforms,4,C1+TC1+TCC1,RAJESH BHATT
BMAT102L,Differential Equations and Transforms,4,C1+TC1+TCC1,MURUGAN V
BMAT102L,Differential Equations and Transforms,4,C1+TC1+TCC1,PRADEEP KUMAR SAROJ
BMAT102L,Differential Equations and Transforms,4,C1+TC1+TCC1,PADIGEPATI NAVEEN
BMAT102L,Differential Equations and Transforms,4,C1+TC1+TCC1,CLEMENT J
BMAT102L,Differential Equations and Transforms,4,C1+TC1+TCC1,HEMADRI REDDY REGANTI
BMAT102L,Differential Equations and Transforms,4,C1+TC1+TCC1,SRI RAMA VARA PRASAD BHUVANAGIRI
BMAT102L,Differential Equations and Transforms,4,A2+TA2+TAA2,KAVITHA A
BMAT102L,Differential Equations and Transforms,4,A2+TA2+TAA2,KASPAR S
BMAT102L,Differential Equations and Transforms,4,D2+TD2+TDD2,ARUNA K
BMAT102L,Differential Equations and Transforms,4,B2+TB2+TBB2,BALAJI S
BMAT102L,Differential Equations and Transforms,4,C1+TC1+TCC1,PRAKASH M
BMAT102L,Differential Equations and Transforms,4,A1+TA1+TAA1,PRAVEEN T
BMAT102L,Differential Equations and Transforms,4,C1+TC1+TCC1,AKELLA VENKATA SURYANARAYANA MURTY
BMAT102L,Differential Equations and Transforms,4,C1+TC1+TCC1,PRASAD THEEDA
BMAT102L,Differential Equations and Transforms,4,C1+TC1+TCC1,ASHISH KUMAR PRASAD
BCSE102L,Structured and Object?Oriented Programming,2,D1,JAYARAM REDDY A
BCSE102L,Structured and Object?Oriented Programming,2,D2,JAYARAM REDDY A
BCSE102L,Structured and Object?Oriented Programming,2,D1,PRASANNA S
BCSE102L,Structured and Object?Oriented Programming,2,D2,PRASANNA S
BCSE102L,Structured and Object?Oriented Programming,2,D1,MAREESWARI V
BCSE102L,Structured and Object?Oriented Programming,2,D2,MAREESWARI V
BCSE102L,Structured and Object?Oriented Programming,2,D1,THANAPAL P
BCSE102L,Structured and Object?Oriented Programming,2,D2,THANAPAL P
BCSE102L,Structured and Object?Oriented Programming,2,D1,ALAGIRI I
BCSE102L,Structured and Object?Oriented Programming,2,D2,ALAGIRI I
BCSE102L,Structured and Object?Oriented Programming,2,B1,RISHIN HALDAR
BCSE102L,Structured and Object?Oriented Programming,2,A1,JAISANKAR N
BCSE102L,Structured and Object?Oriented Programming,2,B1,GLADYS GNANA KIRUBA B
BCSE102L,Structured and Object?Oriented Programming,2,B2,GLADYS GNANA KIRUBA B
BCSE102L,Structured and Object?Oriented Programming,2,B1,JAISAKTHI S M
BCSE102L,Structured and Object?Oriented Programming,2,B2,JAISAKTHI S M
BCSE102L,Structured and Object?Oriented Programming,2,B1,JAYA SUBALAKSHMI R
BCSE102L,Structured and Object?Oriented Programming,2,B2,JAYA SUBALAKSHMI R
BCSE102L,Structured and Object?Oriented Programming,2,B1,PADMA PRIYA R
BCSE102L,Structured and Object?Oriented Programming,2,B2,PADMA PRIYA R
BCSE102L,Structured and Object?Oriented Programming,2,C1,JOSHVA DEVADAS T
BCSE102L,Structured and Object?Oriented Programming,2,C2,JOSHVA DEVADAS T
BCSE102L,Structured and Object?Oriented Programming,2,C1,CHANDRA MOHAN B
BCSE102L,Structured and Object?Oriented Programming,2,C2,SHASHANK MOULI SATAPATHY
BCSE102L,Structured and Object?Oriented Programming,2,C1,SHASHANK MOULI SATAPATHY
BCSE102L,Structured and Object?Oriented Programming,2,C1,NAGA RAJA G
BCSE102L,Structured and Object?Oriented Programming,2,C2,NAGA RAJA G
BCSE102L,Structured and Object?Oriented Programming,2,C1,JAGALINGAM P
BCSE102L,Structured and Object?Oriented Programming,2,C2,JAGALINGAM P
BCSE102L,Structured and Object?Oriented Programming,2,C2,SRIVANI A
BCSE102L,Structured and Object?Oriented Programming,2,A1,ANURADHA D
BCSE102L,Structured and Object?Oriented Programming,2,A2,ANURADHA D
BCSE102L,Structured and Object?Oriented Programming,2,A2,GERALDINE BESSIE AMALI D
BCSE102L,Structured and Object?Oriented Programming,2,B2,ARUP GHOSH
BCSE102L,Structured and Object?Oriented Programming,2,A1,SENTHIL KUMAR K
BCSE102L,Structured and Object?Oriented Programming,2,A2,SENTHIL KUMAR K
BCSE102L,Structured and Object?Oriented Programming,2,A1,SENTHILNATHAN
BCSE102L,Structured and Object?Oriented Programming,2,A2,SENTHILNATHAN
BCSE102L,Structured and Object?Oriented Programming,2,A2,JAISANKAR N
BCSE102L,Structured and Object?Oriented Programming,2,C1,NARAYANAN PRASANTH
BCSE102L,Structured and Object?Oriented Programming,2,C2,NARAYANAN PRASANTH
BCSE102L,Structured and Object?Oriented Programming,2,A1,JANANI T
BCSE102L,Structured and Object?Oriented Programming,2,A2,JANANI T
BCSE102L,Structured and Object?Oriented Programming,2,B2,ANNY LEEMA A
BCSE102L,Structured and Object?Oriented Programming,2,B1,MADIAJAGAN M
BCSE102P,Structured and Object?Oriented Programming Lab,2,L47+L48+L55+L56,JAISANKAR N
BCSE102P,Structured and Object?Oriented Programming Lab,2,L3+L4+L9+L10,JAISANKAR N
BCSE102P,Structured and Object?Oriented Programming Lab,2,L49+L50+L55+L56,SENTHIL KUMAR K
BCSE102P,Structured and Object?Oriented Programming Lab,2,L3+L4+L25+L26,SENTHIL KUMAR K
BCSE102P,Structured and Object?Oriented Programming Lab,2,L9+L10+L25+L26,SRIVANI A
BCSE102P,Structured and Object?Oriented Programming Lab,2,L41+L42+L49+L50,RISHIN HALDAR
BCSE102P,Structured and Object?Oriented Programming Lab,2,L35+L36+L43+L44,GLADYS GNANA KIRUBA B
BCSE102P,Structured and Object?Oriented Programming Lab,2,L15+L16+L29+L30,GLADYS GNANA KIRUBA B
BCSE102P,Structured and Object?Oriented Programming Lab,2,L37+L38+L47+L48,SENTHILNATHAN
BCSE102P,Structured and Object?Oriented Programming Lab,2,L11+L12+L29+L30,SENTHILNATHAN
BCSE102P,Structured and Object?Oriented Programming Lab,2,L37+L38+L53+L54,NAGA RAJA G
BCSE102P,Structured and Object?Oriented Programming Lab,2,L9+L10+L23+L24,NAGA RAJA G
BCSE102P,Structured and Object?Oriented Programming Lab,2,L5+L6+L15+L16,JAYA SUBALAKSHMI R
BCSE102P,Structured and Object?Oriented Programming Lab,2,L31+L32+L55+L56,JAYA SUBALAKSHMI R
BCSE102P,Structured and Object?Oriented Programming Lab,2,L39+L40+L49+L50,ANURADHA D
BCSE102P,Structured and Object?Oriented Programming Lab,2,L5+L6+L15+L16,ANURADHA D
BCSE102P,Structured and Object?Oriented Programming Lab,2,L11+L12+L13+L14,PADMA PRIYA R
BCSE102P,Structured and Object?Oriented Programming Lab,2,L31+L32+L57+L58,PADMA PRIYA R
BCSE102P,Structured and Object?Oriented Programming Lab,2,L11+L12+L25+L26,GERALDINE BESSIE AMALI D
BCSE102P,Structured and Object?Oriented Programming Lab,2,L51+L52+L59+L60,JANANI T
BCSE102P,Structured and Object?Oriented Programming Lab,2,L19+L20+L29+L30,JANANI T
BCSE102P,Structured and Object?Oriented Programming Lab,2,L41+L42+L51+L52,CHANDRA MOHAN B
BCSE102P,Structured and Object?Oriented Programming Lab,2,L5+L6+L13+L14,JAISAKTHI S M
BCSE102P,Structured and Object?Oriented Programming Lab,2,L51+L52+L55+L56,JAISAKTHI S M
BCSE102P,Structured and Object?Oriented Programming Lab,2,L31+L32+L59+L60,SHASHANK MOULI SATAPATHY
BCSE102P,Structured and Object?Oriented Programming Lab,2,L9+L10+L15+L16,SHASHANK MOULI SATAPATHY
BCSE102P,Structured and Object?Oriented Programming Lab,2,L43+L44+L49+L50,MADIAJAGAN M
BCSE102P,Structured and Object?Oriented Programming Lab,2,L5+L6+L21+L22,ANNY LEEMA A
BCSE102P,Structured and Object?Oriented Programming Lab,2,L7+L8+L23+L24,NARAYANAN PRASANTH
BCSE102P,Structured and Object?Oriented Programming Lab,2,L31+L32+L47+L48,NARAYANAN PRASANTH
BCSE102P,Structured and Object?Oriented Programming Lab,2,L35+L36+L39+L40,JAGALINGAM P
BCSE102P,Structured and Object?Oriented Programming Lab,2,L3+L4+L23+L24,JAGALINGAM P
BCSE102P,Structured and Object?Oriented Programming Lab,2,L15+L16+L29+L30,ARUP GHOSH
BCSE102P,Structured and Object?Oriented Programming Lab,2,L35+L36+L51+L52,JOSHVA DEVADAS T
BCSE102P,Structured and Object?Oriented Programming Lab,2,L9+L10+L15+L16,JOSHVA DEVADAS T
BCSE102P,Structured and Object?Oriented Programming Lab,2,L39+L40+L57+L58,JAYARAM REDDY A
BCSE102P,Structured and Object?Oriented Programming Lab,2,L13+L14+L27+L28,JAYARAM REDDY A
BCSE102P,Structured and Object?Oriented Programming Lab,2,L7+L8+L29+L30,PRASANNA S
BCSE102P,Structured and Object?Oriented Programming Lab,2,L41+L42+L57+L58,PRASANNA S
BCSE102P,Structured and Object?Oriented Programming Lab,2,L41+L42+L57+L58,MAREESWARI V
BCSE102P,Structured and Object?Oriented Programming Lab,2,L9+L10+L25+L26,MAREESWARI V
BCSE102P,Structured and Object?Oriented Programming Lab,2,L41+L42+L57+L58,THANAPAL P
BCSE102P,Structured and Object?Oriented Programming Lab,2,L7+L8+L15+L16,THANAPAL P
BCSE102P,Structured and Object?Oriented Programming Lab,2,L23+L24+L25+L26,ALAGIRI I
BCSE102P,Structured and Object?Oriented Programming Lab,2,L47+L48+L57+L58,ALAGIRI I
BENG101L,Technical English Communication,2,E1,AJANTA SIRCAR
BENG101L,Technical English Communication,2,E2,RAJU R.L.N
BENG101L,Technical English Communication,2,E1,MD. SAHUL HAMEED M A
BENG101L,Technical English Communication,2,E1,VIJAYALAKSHMI S
BENG101L,Technical English Communication,2,E2,BHUVANESWARI V
BENG101L,Technical English Communication,2,E2,ANITHA DEVI V
BENG101L,Technical English Communication,2,E1,KARTHIKEYAN J
BENG101L,Technical English Communication,2,E2,LAXMI DHAR DWIVEDI
BENG101L,Technical English Communication,2,E1,SOUMEN MUKHERJEE
